idx,scan_id,image,success,num_crops,elapsed_sec,mode,json_exists,txt_exists,segmentation_sec,crop_generation_sec,clip_classification_sec,prompt_building_sec,gemini_inference_sec,gm_api_calls_image,gm_input_tokens_image,gm_output_tokens_image,gm_total_tokens_image,gm_avg_response_time_ms_image,gm_errors_image,gm_structured_parse_success_image,gm_structured_parse_failures_image,gm_total_input_tokens,gm_total_output_tokens,gm_total_tokens,gm_avg_response_time_ms,gm_api_calls,gm_cache_hits,gm_errors,gm_structured_parse_success,gm_structured_parse_failures,error
1,1762169709,ALTRIANE_image1.jpeg,True,8,23.712,"chunked(size=4, workers=2)",True,True,3.326,0.472,0.88,0.001,18.305,8,12400,3681,16081,3608.267694711685,0,8,0,12400,3681,16081,3608.267694711685,8,0,0,8,0,
2,1762169710,ALTRIANE_image6.jpeg,True,9,28.156,"chunked(size=4, workers=2)",True,True,3.298,1.0,1.055,0.0,21.83,9,13987,4248,18235,3644.0692212846543,0,9,0,26387,7929,34316,3627.2214440738453,17,0,0,17,0,
3,1762169711,Bricocash_1000012817.jpg,True,19,46.765,"chunked(size=4, workers=2)",True,True,2.496,0.193,1.287,0.001,42.553,19,29870,9328,39198,3085.51950203745,0,19,0,56257,17257,73514,3341.32319688797,36,0,0,36,0,
4,1762169712,Bricocash_1000012819.jpg,True,13,31.013,"chunked(size=4, workers=2)",True,True,1.448,0.142,0.831,0.001,28.398,13,20397,5838,26239,2791.678942166842,0,13,0,76654,23095,99753,3195.4992109415484,49,0,0,49,0,
5,1762169713,Bricocash_1000012823.jpg,True,19,46.125,"chunked(size=4, workers=2)",True,True,2.557,0.281,1.253,0.001,41.768,19,29851,8949,38800,2944.7379112243652,0,19,0,106505,32044,138553,3125.4335536676294,68,0,0,68,0,
6,1762169714,Super_U_IMG_2210_1.jpg,True,13,39.187,"chunked(size=4, workers=2)",True,True,2.124,0.401,0.998,0.001,35.125,13,20360,6462,26822,3563.6469767643857,0,13,0,126865,38506,165375,3195.7641030535287,81,0,0,81,0,
7,1762169715,Super_U_IMG_2228_2.jpg,True,12,39.165,"chunked(size=4, workers=2)",True,True,1.977,0.43,1.035,0.001,35.251,12,18780,5857,24637,3484.8500887552896,0,12,0,145645,44363,190012,3233.0655205634334,93,0,0,93,0,
8,1762169716,Super_U_IMG_2229_3.jpg,True,18,47.101,"chunked(size=4, workers=2)",True,True,2.938,0.491,1.456,0.001,41.743,18,28183,8393,36576,3320.870492193434,0,18,0,173828,52756,226588,3247.3041646115416,111,0,0,111,0,
